country_name,country_code,discipline,event,team_id,athlete_firstname,athlete_lastname,athlete_birthdate,athlete_age,athlete_sex,athlete_height_cm,athlete_weight_kg,athlete_medal
Afghanistan,AFG,Athletics,"100 metres, Men",0,Sha Mahmood,Noor Zahi,1991-03-21,30,Male,,,
Afghanistan,AFG,Athletics,"100 metres, Women",1,Kamia,Yousufi,1996-05-20,25,Female,165.0,55.0,
Afghanistan,AFG,Shooting,"Air Rifle, 10 metres, Men",2,Mahdi,Yovari,1997-06-09,24,Male,172.0,,
Afghanistan,AFG,Swimming,"50 metres Freestyle, Men",3,Fahim,Anwari,1999-05-05,22,Male,,,
Afghanistan,AFG,Taekwondo,"Heavyweight, Men",4,Farzad,Mansouri,2002-03-19,19,Male,,,
Albania,ALB,Artistic Gymnastics,"Pommelled Horse, Men",0,Matvei,Petrov,1990-07-16,31,Male,,,
Albania,ALB,Athletics,"Long Jump, Men",1,Izmir,Smajlaj,1993-03-29,28,Male,195.0,86.0,
Albania,ALB,Athletics,"3,000 metres Steeplechase, Women",2,Luiza,Gega,1988-11-05,33,Female,159.0,45.0,
Albania,ALB,Judo,"Half-Lightweight, Men",3,Indrit,Cullhaj,1997-01-16,24,Male,,,
Albania,ALB,Shooting,"Air Pistol, 10 metres, Women",4,Manuela,Delilaj,1966-05-09,55,Female,164.0,,
Albania,ALB,Shooting,"Sporting Pistol, 25 metres, Women",5,Manuela,Delilaj,1966-05-09,55,Female,164.0,,
Albania,ALB,Swimming,"100 metres Freestyle, Men",6,Kledi,Kadiu,2003-10-28,18,Male,,,
Albania,ALB,Swimming,"50 metres Freestyle, Women",7,Nikol,Merizaj,1998-08-07,23,Female,180.0,65.0,
Albania,ALB,Weightlifting,"Middleweight, Men",8,Briken,Calja,1990-02-19,31,Male,170.0,69.0,
Albania,ALB,Weightlifting,"Light-Heavyweight, Men",9,Erkand,Qerimaj,1988-08-10,33,Male,165.0,77.0,
Algeria,ALG,Athletics,"800 metres, Men",0,Yassine,Hethat,1991-08-30,30,Male,175.0,65.0,
Algeria,ALG,Athletics,"400 metres Hurdles, Men",1,Abdelmalik,Lahoulou,1992-05-07,29,Male,177.0,72.0,
Algeria,ALG,Athletics,"3,000 metres Steeplechase, Men",2,Hicham,Bouchicha,1989-05-19,32,Male,182.0,64.0,
Algeria,ALG,Athletics,"Triple Jump, Men",3,Mohamed Yasser Al-Tahar,Triki,1997-03-24,24,Male,,,
Algeria,ALG,Athletics,"400 metres Hurdles, Women",4,Loubna,Benhadja,2001-02-11,20,Female,,,
Algeria,ALG,Boxing,"Flyweight, Men",5,Mohamed,Flissi,1990-02-13,31,Male,162.0,49.0,
Algeria,ALG,Boxing,"Middleweight, Men",6,Younes,Nemouchi,1993-09-16,28,Male,,,
Algeria,ALG,Boxing,"Light-Heavyweight, Men",7,Mohamed,Houmri,1993-03-13,28,Male,,,
Algeria,ALG,Boxing,"Heavyweight, Men",8,Abdelhafid,Benchabla,1986-09-26,35,Male,184.0,81.0,
Algeria,ALG,Boxing,"Super-Heavyweight, Men",9,Chouaib,Bouloudinats,1987-01-08,34,Male,183.0,91.0,
Algeria,ALG,Boxing,"Flyweight, Women",10,Roumaysa,Boualam,1994-10-10,27,Female,,,
Algeria,ALG,Boxing,"Lightweight, Women",11,Imane,Khelif,1999-05-02,22,Female,,,
Algeria,ALG,Boxing,"Middleweight, Women",12,Ichrak,Chaib,2001-01-16,20,Female,174.0,75.0,
Algeria,ALG,Canoe Sprint,"Kayak Singles, 200 metres, Women",13,Amira,Kheris,1999-01-25,22,Female,,,
Algeria,ALG,Canoe Sprint,"Kayak Singles, 500 metres, Women",14,Amira,Kheris,1999-01-25,22,Female,,,
Algeria,ALG,Cycling Road,"Road Race, Individual, Men",15,Azzedine,Lagab,1986-09-18,35,Male,172.0,67.0,
Algeria,ALG,Cycling Road,"Road Race, Individual, Men",16,Hamza,Mansouri,1999-04-13,22,Male,,,
Algeria,ALG,Cycling Road,"Individual Time Trial, Men",17,Azzedine,Lagab,1986-09-18,35,Male,172.0,67.0,
Algeria,ALG,Fencing,"Foil, Individual, Men",18,Salim,Heroui,1999-03-19,22,Male,,,
Algeria,ALG,Fencing,"Sabre, Individual, Men",19,Akram,Bounabi,1999-08-28,22,Male,,,
Algeria,ALG,Fencing,"Foil, Individual, Women",20,Meriem,Mebarki,2003-06-22,18,Female,,,
Algeria,ALG,Fencing,"Sabre, Individual, Women",21,Kaouther,Mohamed Belkebir,2003-08-05,18,Female,,,
Algeria,ALG,Judo,"Lightweight, Men",22,Fethi,Nourine,1991-06-14,30,Male,,,
Algeria,ALG,Judo,"Heavyweight, Women",23,Sonia,Asselah,1991-08-20,30,Female,176.0,78.0,
Algeria,ALG,Karate,"Kumite, >61 kg, Women",24,Lamya,Matoub,1992-01-18,29,Female,,,
Algeria,ALG,Marathon Swimming,"10 kilometres Open Water, Women",25,Souad Nefissa,Cherouati,1989-02-10,32,Female,,,
Algeria,ALG,Rowing,"Lightweight Double Sculls, Men",26,Kamel,Ait Daoud,1985-05-18,36,Male,180.0,70.0,
Algeria,ALG,Rowing,"Lightweight Double Sculls, Men",26,Sid Ali,Boudina,1990-05-07,31,Male,178.0,73.0,
Algeria,ALG,Sailing,"Windsurfer, Men",27,Hamza,Bouras,1987-12-16,34,Male,170.0,73.0,
Algeria,ALG,Sailing,"Windsurfer, Women",28,Amina Nadjet,Berrichi,1995-05-16,26,Female,,,
Algeria,ALG,Shooting,"Air Rifle, 10 metres, Women",29,Houda,Chaabi,1986-07-07,35,Female,,,
Algeria,ALG,Swimming,"50 metres Freestyle, Men",30,Oussama,Sahnoune,1992-08-02,29,Male,190.0,90.0,
Algeria,ALG,Swimming,"100 metres Freestyle, Men",31,Oussama,Sahnoune,1992-08-02,29,Male,190.0,90.0,
Algeria,ALG,Swimming,"50 metres Freestyle, Women",32,Amel,Melih,1993-10-06,28,Female,,,
Algeria,ALG,Swimming,"100 metres Freestyle, Women",33,Amel,Melih,1993-10-06,28,Female,,,
Algeria,ALG,Table Tennis,"Singles, Men",34,Larbi,Bouriah,1983-02-24,38,Male,,,
Algeria,ALG,Weightlifting,"Super-Heavyweight, Men",35,Walid,Bidani,1994-06-11,27,Male,185.0,,
Algeria,ALG,Wrestling,"Featherweight, Greco-Roman, Men",36,Abdelkarim,Fergat,1994-03-02,27,Male,,,
Algeria,ALG,Wrestling,"Welterweight, Greco-Roman, Men",37,Abdelmalek,Merabet,2000-12-07,21,Male,,,
Algeria,ALG,Wrestling,"Light-Heavyweight, Greco-Roman, Men",38,Bachir,Sid Azara,1996-03-03,25,Male,,,
Algeria,ALG,Wrestling,"Heavyweight, Greco-Roman, Men",39,Adem,Boudjemline,1994-02-28,27,Male,180.0,85.0,
Algeria,ALG,Wrestling,"Featherweight, Freestyle, Men",40,Abdelhak,Kherbache,1995-06-25,26,Male,,,
Algeria,ALG,Wrestling,"Light-Heavyweight, Freestyle, Men",41,Fateh,Benferdjallah,2001-04-15,20,Male,,,
Algeria,ALG,Wrestling,"Heavyweight, Freestyle, Men",42,Mohamed,Fardj,1998-07-19,23,Male,,,
Algeria,ALG,Wrestling,"Super-Heavyweight, Freestyle, Men",43,Djahid,Berrahal,1994-01-24,27,Male,,,
American Samoa,ASA,Athletics,"100 metres, Men",0,Nathan Ikon,Crumpton,1985-10-09,36,Male,,,
American Samoa,ASA,Sailing,"Two Person Dinghy, Men",1,Tyler Justus,Paige,1995-09-01,26,Male,,,
American Samoa,ASA,Sailing,"Two Person Dinghy, Men",1,Adrian Wilhelm Jochen,Hoesch,1993-02-09,28,Male,,,
American Samoa,ASA,Swimming,"100 metres Breaststroke, Men",2,Micah,Masei,1999-03-22,22,Male,188.0,84.0,
American Samoa,ASA,Swimming,"100 metres Breaststroke, Women",3,Tilali Rose Leslie,Scanlan,1999-11-03,22,Female,,,
American Samoa,ASA,Weightlifting,"Heavyweight, Men",4,Tanumafili Malietoa,Jungblut,1990-06-10,31,Male,188.0,94.0,
Andorra,AND,Athletics,"800 metres, Men",0,Pol,Moya Betriu,1996-12-09,25,Male,178.0,62.0,
Andorra,AND,Canoe Slalom,"Kayak Singles, Slalom, Women",1,Mònica,Dòria Vilarrubla,1999-12-04,22,Female,,,
Andorra,AND,Canoe Slalom,"Canadian Singles, Slalom, Women",2,Mònica,Dòria Vilarrubla,1999-12-04,22,Female,,,
Angola,ANG,Athletics,"100 metres, Men",0,Aveni,Miguel,2002-08-19,19,Male,,,
Angola,ANG,Handball,"Handball, Women",1,Marilia,Quizelete,1997-06-03,24,Female,174.0,63.0,
Angola,ANG,Handball,"Handball, Women",1,Juliana,José Machado,1994-11-06,27,Female,175.0,,
Angola,ANG,Handball,"Handball, Women",1,Helena Gilda,Simão Paulo,1998-01-24,23,Female,173.0,78.0,
Angola,ANG,Handball,"Handball, Women",1,Natália Maria,Bernardo-Santos,1986-12-25,35,Female,170.0,65.0,
Angola,ANG,Handball,"Handball, Women",1,Albertina,da Cruz Kassoma,1996-06-12,25,Female,185.0,97.0,
Angola,ANG,Handball,"Handball, Women",1,Helena Chidi Cawela,de Sousa,1994-11-07,27,Female,182.0,88.0,
Angola,ANG,Handball,"Handball, Women",1,Natalia Mafiela,Kamalandua Fonseca,1998-12-25,23,Female,164.0,59.0,
Angola,ANG,Handball,"Handball, Women",1,Teresa Patrícia,De Almeida,1988-04-05,33,Female,172.0,98.0,
Angola,ANG,Handball,"Handball, Women",1,Wuta Waco,Bige Dombaxi,1986-04-05,35,Female,173.0,71.0,
Angola,ANG,Handball,"Handball, Women",1,Stelvia de Jesus,Pascoal,2002-10-20,19,Female,172.0,77.0,
Angola,ANG,Handball,"Handball, Women",1,Magda,Alfredo Cazanga,1991-05-28,30,Female,174.0,73.0,
Angola,ANG,Handball,"Handball, Women",1,Liliana,da Silva Venâncio,1995-09-19,26,Female,191.0,96.0,
Angola,ANG,Handball,"Handball, Women",1,Azenaide Danila,José Carlos,1990-06-14,31,Female,175.0,,
