country_name,country_code,discipline,event,athlete_firstname,athlete_lastname,athlete_birthdate,athlete_age,athlete_sex,athlete_height_cm,athlete_weight_kg,athlete_medal
Armenia,ARM,Wrestling,Men's Greco-Roman 97kg,Artur,ALEKSANYAN,1991-10-21,32,Male,0.0,0.0,silver
Armenia,ARM,Wrestling,Men's Greco-Roman 77kg,Malkhas,AMOYAN,1999-01-22,25,Male,0.0,0.0,bronze
Armenia,ARM,Wrestling,Men's Greco-Roman 67kg,Slavik,GALSTYAN,1996-12-21,27,Male,0.0,0.0,none
Armenia,ARM,Wrestling,Men's Freestyle 57kg,Arsen,HARUTYUNYAN,1999-11-22,24,Male,0.0,0.0,none
Armenia,ARM,Wrestling,Men's Freestyle 65kg,Vazgen,TEVANYAN,1999-10-27,24,Male,0.0,0.0,none
Colombia,COL,Athletics,Women's 20km Race Walk,Lorena,ARENAS,1993-09-17,30,Female,162.0,0.0,none
Colombia,COL,Athletics,Marathon Race Walk Relay Mixed,Lorena,ARENAS,1993-09-17,30,Female,162.0,0.0,none
Jamaica,JAM,Judo,Men -60 kg,Ashley,McKENZIE,1989-07-17,35,Male,0.0,0.0,none
Gambia,GAM,Athletics,Women's 100m,Gina Mariam,BASS BITTAYE,1995-05-03,29,Female,161.0,0.0,none
Gambia,GAM,Athletics,Women's 200m,Gina Mariam,BASS BITTAYE,1995-05-03,29,Female,161.0,0.0,none
Gambia,GAM,Athletics,Men's 100m,Ebrahima,CAMARA,1996-09-18,27,Male,178.0,0.0,none
Mexico,MEX,Triathlon,Women's Individual,Lizeth,RUEDA SANTOS,1994-03-07,30,Female,0.0,0.0,none
Mexico,MEX,Triathlon,Women's Individual,Rosa Maria,TAPIA VIDAL,1997-08-27,26,Female,0.0,0.0,none
Mexico,MEX,Triathlon,Men's Individual,Crisanto,GRAJALES,1987-05-06,37,Male,0.0,0.0,none
Comoros,COM,Athletics,Men's 100m,Hachim,MAAROUFOU,1997-02-13,27,Male,183.0,0.0,none
