country_name,country_code,discipline,event,athlete_firstname,athlete_lastname,athlete_birthdate,athlete_age,athlete_sex,athlete_height_cm,athlete_weight_kg,athlete_medal
Afghanistan,AFG,Athletics,"100 metres, Men",Sha Mahmood,Noor Zahi,1991-03-21,30,Male,0.0,0.0,none
Afghanistan,AFG,Athletics,"100 metres, Women",Kamia,Yousufi,1996-05-20,25,Female,165.0,55.0,none
Afghanistan,AFG,Shooting,"Air Rifle, 10 metres, Men",Mahdi,Yovari,1997-06-09,24,Male,172.0,0.0,none
Afghanistan,AFG,Swimming,"50 metres Freestyle, Men",Fahim,Anwari,1999-05-05,22,Male,0.0,0.0,none
Afghanistan,AFG,Taekwondo,"Heavyweight, Men",Farzad,Mansouri,2002-03-19,19,Male,0.0,0.0,none
Albania,ALB,Artistic Gymnastics,"Pommelled Horse, Men",Matvei,Petrov,1990-07-16,31,Male,0.0,0.0,none
Albania,ALB,Athletics,"Long Jump, Men",Izmir,Smajlaj,1993-03-29,28,Male,195.0,86.0,none
Albania,ALB,Athletics,"3,000 metres Steeplechase, Women",Luiza,Gega,1988-11-05,33,Female,159.0,45.0,none
Albania,ALB,Judo,"Half-Lightweight, Men",Indrit,Cullhaj,1997-01-16,24,Male,0.0,0.0,none
Albania,ALB,Shooting,"Air Pistol, 10 metres, Women",Manuela,Delilaj,1966-05-09,55,Female,164.0,0.0,none
Albania,ALB,Shooting,"Sporting Pistol, 25 metres, Women",Manuela,Delilaj,1966-05-09,55,Female,164.0,0.0,none
Albania,ALB,Swimming,"100 metres Freestyle, Men",Kledi,Kadiu,2003-10-28,18,Male,0.0,0.0,none
Albania,ALB,Swimming,"50 metres Freestyle, Women",Nikol,Merizaj,1998-08-07,23,Female,180.0,65.0,none
Albania,ALB,Weightlifting,"Middleweight, Men",Briken,Calja,1990-02-19,31,Male,170.0,69.0,none
Albania,ALB,Weightlifting,"Light-Heavyweight, Men",Erkand,Qerimaj,1988-08-10,33,Male,165.0,77.0,none
Algeria,ALG,Athletics,"800 metres, Men",Yassine,Hethat,1991-08-30,30,Male,175.0,65.0,none
Algeria,ALG,Athletics,"400 metres Hurdles, Men",Abdelmalik,Lahoulou,1992-05-07,29,Male,177.0,72.0,none
Algeria,ALG,Athletics,"3,000 metres Steeplechase, Men",Hicham,Bouchicha,1989-05-19,32,Male,182.0,64.0,none
Algeria,ALG,Athletics,"Triple Jump, Men",Mohamed Yasser Al-Tahar,Triki,1997-03-24,24,Male,0.0,0.0,none
Algeria,ALG,Athletics,"400 metres Hurdles, Women",Loubna,Benhadja,2001-02-11,20,Female,0.0,0.0,none
Algeria,ALG,Boxing,"Flyweight, Men",Mohamed,Flissi,1990-02-13,31,Male,162.0,49.0,none
Algeria,ALG,Boxing,"Middleweight, Men",Younes,Nemouchi,1993-09-16,28,Male,0.0,0.0,none
Algeria,ALG,Boxing,"Light-Heavyweight, Men",Mohamed,Houmri,1993-03-13,28,Male,0.0,0.0,none
Algeria,ALG,Boxing,"Heavyweight, Men",Abdelhafid,Benchabla,1986-09-26,35,Male,184.0,81.0,none
